code,subject,n_departments,n_placements,departments
21011,Engineering Drawing,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25711,Bangla-I,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25712,English-I,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25721,Bangla -II,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25722,English-II,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25811,Social Science,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25812,Physical Education & Life skills Development,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25831,Business Communication,31,31,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25841,Accounting,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25851,Principles of Marketing,32,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25852,Industrial Management,30,30,Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology
25853,Innovation & Entrepreneurship,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
25911,Mathematics -I,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25912,Physics-I,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25913,Chemistry,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25921,Mathematics-II,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25922,Physics-II,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
25931,Mathematics-III,32,32,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
26121,Architectural Design-I,1,1,Architecture Technology
26134,Climatology,1,1,Architecture Technology
26135,Computer Aided Drawing -I,1,1,Architecture Technology
26153,Model Making,1,1,Architecture Technology
26211,Automobile Fundamentals,3,3,Automobile Technology; Mechanical Technology; RAC Technology
26421,Civil Engineering Drawing,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26431,Structural Mechanics,10,10,"Architecture Technology; Cadastral,Topographic Survey & Land Information Technology; Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology; Geoinformatics Technology; Land Resources Survey & Environment Technology; Photogrammetry & Remote Sensing Technology; Surveying Technology"
26441,Construction Process-II,3,3,Civil Technology; Civil(Wood) Technology; Environmental Technology
26442,Estimating & Costing-I,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26443,Civil CAD-I,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26444,Surveying-II,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26445,Geotechnical Engineering,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26457,Water Supply and Sanitary Engineering,1,1,Architecture Technology
26461,Water Resources Engineering,2,2,Civil Technology; Construction Technology
26462,Advance Surveying,1,1,Civil Technology
26463,Transportation Engineering-I,5,5,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology; Surveying Technology
26464,Design of Structure-I,6,6,Architecture Technology; Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology; Surveying Technology
26472,Sanitary Engineering,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26473,Transportation Engineering-II,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Surveying Technology
26474,Design of Structure-II,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Surveying Technology
26475,Estimating & Costing-II,4,4,Civil Technology; Civil(Wood) Technology; Construction Technology; Environmental Technology
26521,Wood Workshop Practice,2,2,Civil Technology; Civil(Wood) Technology
26711,Basic Electricity,33,33,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
26721,Electrical Circuits-I,4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26722,Electrical Engineering Drawing,1,1,Electrical Technology
26732,Electrical Appliances,1,1,Electrical Technology
26741,"Electrical Installation,Planning and Estimating",4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26742,DC Machine,4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26743,Electrical Engineering Project-I,1,1,Electrical Technology
26753,Measurements-I Testing and Maintannance of Electrical Equipments,1,1,Electrical Technology
26761,AC Machine-I,4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26762,Transmission and Distribution of,1,1,Electrical Technology
26763,Electrical Power-I Electrical & Electronic Measurements-II,4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26771,AC Machine-II,4,4,Electrical Technology; Electromedical Technology; Electronics Technology; Telecommunication Technology
26772,Transmission and Distribution of Electrical Power-II,1,1,Electrical Technology
26773,Switch Gear and Protection,3,3,Electrical Technology; Electromedical Technology; Telecommunication Technology
26811,Basic Electronics,31,31,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Environmental Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Land Resources Survey & Environment Technology; Marine Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Shipbuilding Engineering; Surveying Technology; Telecommunication Technology"
26821,Electronic Devices and,3,3,Electronics Technology; Mechatronics Technology; Telecommunication Technology
26831,Digital Electronics-I,2,2,Computer Science & Technology; Electronics Technology
26841,Digital Electronics-II,2,2,Computer Science & Technology; Electronics Technology
26842,Communication Engineering,2,2,Electrical Technology; Electronics Technology
26845,Digital Electronics,4,4,Electrical Technology; Electromedical Technology; Mechatronics Technology; Telecommunication Technology
26851,Television Engineering,1,1,Electronics Technology
26852,Electronic Appliances,1,1,Electronics Technology
26861,TV Studio and Broadcasting,1,1,Electronics Technology
26862,Microcontroller and Embedded System,1,1,Electronics Technology
26863,PCB Design and Prototyping,1,1,Electronics Technology
26871,Microwave Radar and Navigation Aids,1,1,Electronics Technology
26872,Industrial Automation and PLC,1,1,Electronics Technology
26875,Automation Engineering & PLC,2,2,Electrical Technology; Glass Technology
