department,semester,code,subject,filename,size_mb,archive
Aircraft Maintenance Technology- Aerospace,1,25711,Bangla-I,Bangla-I.pdf,110.2,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,25712,English-I,English-I.pdf,242.2,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,1,25912,Physics-I,Physics-I.pdf,110.1,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,25721,Bangla -II,Bangla -II.pdf,163.4,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,25913,Chemistry,Chemistry.pdf,143.9,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,25722,English-II,English-II.pdf,160.1,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,2,25922,Physics-II,Physics-II.pdf,133.4,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,3,26811,Basic Electronics,Basic Electronics.pdf,101.4,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,aircraft-maintenance-technology-aerospace.zip
Aircraft Maintenance Technology- Aerospace,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,aircraft-maintenance-technology-aerospace.zip
